LOCATIONID,POINT1,POINT2,POINT3,POINT4
CLASSROOM,248'-0 1/4", 79'-10 3/16",248'-0 1/4", 101'-11 1/2",262'-1 3/4", 101'-11 1/2",262'-1 3/4", 79'-10 3/16"
S95,153'-7 5/16", 141'-10 5/16",153'-7 5/16", 143'-1 5/16",169'-1 5/16", 143'-1 5/16",169'-1 5/16", 141'-10 5/16"
S96,153'-7 5/16", 143'-3 5/16",153'-7 5/16", 144'-6 5/16",169'-1 5/16", 144'-6 5/16",169'-1 5/16", 143'-3 5/16"
S97,153'-7 5/16", 150'-0 11/16",153'-7 5/16", 151'-3 11/16",169'-1 5/16", 151'-3 11/16",169'-1 5/16", 150'-0 11/16"
S98,153'-7 5/16", 151'-5 11/16",153'-7 5/16", 152'-8 11/16",169'-1 5/16", 152'-8 11/16",169'-1 5/16", 151'-5 11/16"
S99,173'-7 11/16", 144'-10 5/16",173'-7 11/16", 152'-10 5/16",174'-10 11/16", 152'-10 5/16",174'-10 11/16", 144'-10 5/16"
W1,246'-0 3/8", 82'-5 1/8",246'-0 3/8", 97'-5 1/8",247'-2 7/8", 97'-5 1/8",247'-2 7/8", 82'-5 1/8"
W10,107'-1 7/8", 143'-5 1/8",107'-1 7/8", 168'-5 1/8",108'-9 3/8", 168'-5 1/8",108'-9 3/8", 143'-5 1/8"
W11,107'-1 7/8", 168'-5 1/8",107'-1 7/8", 188'-5 1/8",108'-9 3/8", 188'-5 1/8",108'-9 3/8", 168'-5 1/8"
W12,108'-7 1/8", 196'-7 5/16",108'-7 1/8", 198'-2 13/16",133'-7 1/8", 198'-2 13/16",133'-7 1/8", 196'-7 5/16"
W13,133'-7 1/8", 196'-7 5/16",133'-7 1/8", 198'-2 13/16",158'-7 1/8", 198'-2 13/16",158'-7 1/8", 196'-7 5/16"
W14,158'-7 1/8", 196'-7 5/16",158'-7 1/8", 198'-2 13/16",183'-7 1/8", 198'-2 13/16",183'-7 1/8", 196'-7 5/16"
W15,183'-7 1/8", 196'-7 5/16",183'-7 1/8", 198'-2 13/16",208'-7 1/8", 198'-2 13/16",208'-7 1/8", 196'-7 5/16"
W16,208'-7 1/8", 196'-7 5/16",208'-7 1/8", 198'-2 13/16",233'-7 1/8", 198'-2 13/16",233'-7 1/8", 196'-7 5/16"
W17,233'-7 1/8", 196'-7 5/16",233'-7 1/8", 198'-2 13/16",241'-1 1/8", 198'-2 13/16",241'-1 1/8", 196'-7 5/16"
W18,241'-2 3/8", 185'-6 13/16",241'-2 3/8", 193'-0 13/16",242'-9 7/8", 193'-0 13/16",242'-9 7/8", 185'-6 13/16"
W19,242'-9 7/8", 183'-11 5/16",242'-9 7/8", 185'-6 13/16",260'-3 7/8", 185'-6 13/16",260'-3 7/8", 183'-11 5/16"
